"발생년","발생년월일시","주야","요일","사망자수","부상자수","중상자수","경상자수","부상신고자수","발생지시도","발생지시군구","사고유형_대분류","사고유형_중분류","사고유형","가해자법규위반","도로형태_대분류","도로형태","가해자_당사자종별","피해자_당사자종별","발생위치(X_UTMK)","발생위치(Y_UTMK)","경도","위도"," 어린이사고 여부"
"2015","2015-01-02 21","야","금","1","0","0","0","0","충북","청주시","차대사람","기타","기타","안전운전 의무 불이행","단일로","기타단일로","승합차","보행자","1002539","1840711","127.5283746","36.56416582","N"
"2015","2015-01-03 00","야","토","2","1","1","0","0","서울","서대문구","차대사람","기타","기타","과속","단일로","기타단일로","승용차","보행자","952579.4","1951310.4","126.9630803","37.55992824","N"
"2015","2015-01-03 04","야","토","1","4","3","1","0","강원","강릉시","차대차","측면충돌","측면충돌","신호위반","교차로","교차로내","승용차","화물차","1122912","1973644","128.8952722","37.75419122","N"
"2015","2015-01-03 05","야","토","1","0","0","0","0","충북","증평군","차대사람","차도통행중","차도통행중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","1005624","1865351","127.563032","36.78628021","N"
"2015","2015-01-03 06","주","토","2","0","0","0","0","인천","부평구","차대사람","횡단중","횡단중","과속","단일로","횡단보도상","승용차","보행자","928772","1941617","126.694481","37.47103057","N"
"2015","2015-01-03 07","주","토","1","2","1","1","0","경남","남해군","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","단일로","기타단일로","승합차","없음","1033939","1660770","127.8716609","34.94119616","N"
"2015","2015-01-03 07","주","토","1","0","0","0","0","대구","북구","차대차","측면충돌","측면충돌","신호위반","교차로","교차로내","승용차","자전거","1092493.4","1758436.5","128.523885","35.81805002","N"
"2015","2015-01-03 08","주","토","1","0","0","0","0","경남","진주시","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","기타단일로","화물차","보행자","1059589","1687268","128.1544414","35.1789384","N"
"2015","2015-01-03 11","주","토","1","0","0","0","0","전남","광양시","차량단독","기타","기타","안전운전 의무 불이행","단일로","기타단일로","농기계","없음","1014990","1673854","127.6643903","35.05963748","N"
"2015","2015-01-03 12","주","토","1","0","0","0","0","전남","무안군","차대사람","기타","기타","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","901509","1653715","126.4223459","34.87336969","N"
"2015","2015-01-03 15","주","토","1","0","0","0","0","경기","성남시","차량단독","기타","기타","안전운전 의무 불이행","기타/불명","기타/불명","승합차","없음","969891","1937684","127.1596447","37.43783524","N"
"2015","2015-01-03 16","주","토","1","1","0","1","0","경기","성남시","차량단독","전도전복","전도전복","안전운전 의무 불이행","단일로","기타단일로","승용차","없음","968953","1929945","127.1493668","37.36804763","N"
"2015","2015-01-03 17","주","토","1","1","0","1","0","전남","장흥군","차대차","정면충돌","정면충돌","중앙선 침범","단일로","기타단일로","승용차","승용차","949356","1616350","126.9480816","34.53994564","N"
"2015","2015-01-03 18","야","토","1","0","0","0","0","충남","공주시","차대사람","차도통행중","차도통행중","안전운전 의무 불이행","단일로","기타단일로","화물차","보행자","978471","1819501","127.2599934","36.37271495","N"
"2015","2015-01-03 18","야","토","1","0","0","0","0","전북","정읍시","차대사람","보도통행중","보도통행중","안전운전 의무 불이행","단일로","기타단일로","화물차","보행자","937878","1739747","126.8137411","35.65194485","N"
"2015","2015-01-04 00","야","일","1","0","0","0","0","서울","관악구","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","기타단일로","승합차","보행자","951585","1942458","126.9524051","37.48008784","N"
"2015","2015-01-04 00","야","일","1","0","0","0","0","전남","신안군","차량단독","기타","기타","안전운전 의무 불이행","단일로","기타단일로","승용차","없음","872776","1678344","126.1042694","35.09220263","N"
"2015","2015-01-04 03","야","일","1","0","0","0","0","인천","계양구","차대사람","차도통행중","차도통행중","안전운전 의무 불이행","단일로","기타단일로","건설기계","보행자","931279","1949630","126.7220812","37.54344019","N"
"2015","2015-01-04 05","야","일","1","0","0","0","0","경북","칠곡군","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","교차로","교차로부근","승용차","없음","1081842.8","1784218.4","128.4086552","36.05141788","N"
"2015","2015-01-04 06","주","일","1","0","0","0","0","충남","천안시","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","단일로","기타단일로","이륜차","없음","966841","1864692","127.1283964","36.77977579","N"
"2015","2015-01-04 07","주","일","1","0","0","0","0","경기","광주시","차대차","추돌","진행중 추돌","안전운전 의무 불이행","단일로","기타단일로","승용차","건설기계","981031","1932301","127.2857097","37.38960983","N"
"2015","2015-01-04 12","주","일","1","1","1","0","0","세종","세종시","차대차","추돌","주정차중 추돌","안전운전 의무 불이행","단일로","기타단일로","이륜차","승용차","981784","1843164","127.2963693","36.58610925","N"
"2015","2015-01-04 13","주","일","1","0","0","0","0","충북","충주시","차대차","추돌","진행중 추돌","안전운전 의무 불이행","단일로","기타단일로","화물차","자전거","1036910.7","1885755.8","127.914672","36.96951421","N"
"2015","2015-01-04 13","주","일","1","0","0","0","0","전남","영암군","차량단독","전도전복","전도전복","안전운전 의무 불이행","단일로","기타단일로","원동기장치자전거","없음","924567","1646039","126.6753024","34.80613151","N"
"2015","2015-01-04 15","주","일","1","0","0","0","0","경기","성남시","차대사람","기타","기타","안전운전 의무 불이행","교차로","교차로부근","승합차","보행자","970419","1937818","127.1656078","37.4390601","N"
"2015","2015-01-04 18","야","일","1","2","2","0","0","충남","서산시","차대차","추돌","진행중 추돌","안전운전 의무 불이행","단일로","기타단일로","화물차","승용차","912883","1852734","126.5251226","36.66856645","N"
"2015","2015-01-04 18","야","일","1","0","0","0","0","인천","서구","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","927182.9","1947591.9","126.6759199","37.52475689","N"
"2015","2015-01-04 20","야","일","1","0","0","0","0","인천","계양구","차대사람","횡단중","횡단중","안전운전 의무 불이행","교차로","교차로내","화물차","보행자","931313","1948424","126.7225789","37.53257332","N"
"2015","2015-01-04 21","야","일","1","0","0","0","0","전남","목포시","차대사람","기타","기타","안전운전 의무 불이행","교차로","교차로부근","원동기장치자전거","보행자","899399","1647185","126.4000464","34.81428837","N"
"2015","2015-01-04 21","야","일","1","0","0","0","0","경북","예천군","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","단일로","기타단일로","이륜차","없음","1085781","1853349","128.4599977","36.67423128","N"
"2015","2015-01-04 22","야","일","1","0","0","0","0","경기","성남시","차대사람","기타","기타","안전운전 의무 불이행","교차로","교차로부근","승용차","보행자","965523","1930936","127.1105843","37.37685898","N"
"2015","2015-01-04 23","야","일","1","0","0","0","0","경기","평택시","차대사람","차도통행중","차도통행중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","961209","1897824","127.0635825","37.0782229","N"
"2015","2015-01-05 03","야","월","1","0","0","0","0","서울","구로구","차량단독","전도전복","전도전복","안전운전 의무 불이행","단일로","기타단일로","원동기장치자전거","없음","941717","1943013","126.8407559","37.48452014","N"
"2015","2015-01-05 04","야","월","1","0","0","0","0","경북","칠곡군","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","단일로","기타단일로","승용차","없음","1095252","1776866","128.5566237","35.98391987","N"
"2015","2015-01-05 06","주","월","1","0","0","0","0","경기","수원시","차대차","기타","기타","안전운전 의무 불이행","단일로","횡단보도상","승용차","화물차","958157","1919953","127.0280077","37.27755915","N"
"2015","2015-01-05 06","주","월","1","0","0","0","0","전북","전주시","차대사람","보도통행중","보도통행중","보행자 보호의무 위반","단일로","기타단일로","승용차","보행자","967409","1759592","127.1391538","35.83228743","N"
"2015","2015-01-05 07","주","월","1","3","2","1","0","경남","창원시(통합)","차대사람","기타","기타","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","1078504","1682339","128.3616898","35.13319716","N"
"2015","2015-01-05 09","주","월","1","1","1","0","0","강원","삼척시","차대차","정면충돌","정면충돌","중앙선 침범","단일로","기타단일로","승용차","건설기계","1128015","1928693","128.9453392","37.34845141","N"
"2015","2015-01-05 09","주","월","1","1","1","0","0","강원","정선군","차대사람","길가장자리구역통행중","길가장자리구역통행중","안전운전 의무 불이행","단일로","기타단일로","화물차","보행자","1123698.1","1912654.6","128.8939451","37.20450953","N"
"2015","2015-01-05 09","주","월","1","1","1","0","0","충남","보령시","차대차","정면충돌","정면충돌","과속","교차로","교차로내","건설기계","승용차","909032","1835118","126.4841176","36.5094218","N"
"2015","2015-01-05 17","주","월","1","0","0","0","0","울산","울주군","차대사람","횡단중","횡단중","보행자 보호의무 위반","교차로","교차로부근","승용차","보행자","1155411","1739419","129.2164653","35.63871055","N"
"2015","2015-01-05 18","야","월","1","0","0","0","0","대구","달성군","차대사람","횡단중","횡단중","보행자 보호의무 위반","교차로","교차로부근","건설기계","보행자","1089733","1757025","128.4931736","35.80558192","N"
"2015","2015-01-05 19","야","월","1","0","0","0","0","경기","고양시","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","횡단보도상","승합차","보행자","941742","1958123","126.8398384","37.62070796","N"
"2015","2015-01-05 20","야","월","1","0","0","0","0","서울","구로구","차대사람","기타","기타","중앙선 침범","단일로","기타단일로","승용차","보행자","942107","1944339","126.8450626","37.49649603","N"
"2015","2015-01-05 21","야","월","1","5","1","4","0","인천","계양구","차대차","측면충돌","측면충돌","교차로 통행방법 위반","교차로","교차로내","승용차","승합차","933109","1951904","126.7425876","37.56406993","N"
"2015","2015-01-05 23","야","월","1","0","0","0","0","경기","시흥시","차대차","측면충돌","측면충돌","안전운전 의무 불이행","교차로","교차로내","승합차","승용차","932503","1929695","126.7377613","37.36385778","N"
"2015","2015-01-05 23","야","월","1","0","0","0","0","충남","서산시","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","단일로","기타단일로","승용차","없음","905142","1864207","126.4370864","36.77123554","N"
"2015","2015-01-06 02","야","화","1","0","0","0","0","제주","제주시","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","906416","1499335","126.4927104","33.48175277","N"
"2015","2015-01-06 05","야","화","1","0","0","0","0","서울","용산구","차대사람","기타","기타","안전운전 의무 불이행","교차로","교차로내","승용차","보행자","953874","1950002","126.9778201","37.5482011","N"
"2015","2015-01-06 07","주","화","1","1","1","0","0","경기","파주시","차대차","측면충돌","측면충돌","안전운전 의무 불이행","단일로","기타단일로","건설기계","화물차","935246","1985074","126.7638312","37.86317051","N"
"2015","2015-01-06 07","주","화","1","0","0","0","0","경기","안산시","차대차","기타","기타","안전운전 의무 불이행","단일로","기타단일로","승용차","자전거","938787","1926852","126.808956","37.33866917","N"
"2015","2015-01-06 07","주","화","1","1","1","0","0","경북","김천시","차대차","측면충돌","측면충돌","안전운전 의무 불이행","교차로","교차로부근","승용차","승용차","1060251","1790581","128.1694368","36.11035524","N"
"2015","2015-01-06 08","주","화","1","0","0","0","0","충남","보령시","차대차","기타","기타","안전운전 의무 불이행","단일로","기타단일로","승용차","원동기장치자전거","919609","1812561","126.6045586","36.3070354","N"
"2015","2015-01-06 12","주","화","1","4","3","1","0","서울","성북구","차대차","추돌","진행중 추돌","안전운전 의무 불이행","단일로","터널안","승합차","화물차","955425","1956850","126.9949612","37.6099998","N"
"2015","2015-01-06 12","주","화","1","0","0","0","0","강원","동해시","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","단일로","기타단일로","승용차","없음","1142696","1952128","129.1155728","37.5574635","N"
"2015","2015-01-06 13","주","화","1","0","0","0","0","경기","광주시","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","978110","1934663","127.2526418","37.41083587","N"
"2015","2015-01-06 14","주","화","1","0","0","0","0","경기","하남시","차량단독","전도전복","전도전복","안전운전 의무 불이행","기타/불명","기타/불명","승용차","없음","975229","1943173","127.2198007","37.48746932","N"
"2015","2015-01-06 15","주","화","1","0","0","0","0","충북","음성군","차대차","기타","기타","안전운전 의무 불이행","단일로","기타단일로","화물차","자전거","1003458","1893064","127.5388828","37.03611117","N"
"2015","2015-01-06 15","주","화","1","0","0","0","0","전남","순천시","차대차","기타","기타","안전운전 의무 불이행","교차로","교차로부근","화물차","승용차","993131","1649660","127.4248692","34.84155591","N"
"2015","2015-01-06 16","주","화","1","0","0","0","0","전남","담양군","차량단독","전도전복","전도전복","안전운전 의무 불이행","기타/불명","기타/불명","농기계","없음","955977","1695438","127.0160702","35.25340866","N"
"2015","2015-01-06 19","야","화","1","0","0","0","0","경기","안산시","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","934459","1922899","126.7604493","37.30274457","N"
"2015","2015-01-06 21","야","화","1","0","0","0","0","서울","영등포구","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","횡단보도상","승용차","보행자","947727","1944613","126.9086183","37.49930101","N"
"2015","2015-01-06 23","야","화","1","2","0","1","1","경기","수원시","차대차","측면충돌","측면충돌","중앙선 침범","단일로","기타단일로","승용차","화물차","959738","1921961","127.0457322","37.29572843","N"
"2015","2015-01-06 23","야","화","2","1","1","0","0","대전","서구","차대차","정면충돌","정면충돌","중앙선 침범","단일로","기타단일로","화물차","승용차","991183","1816098","127.4017458","36.34223622","N"
"2015","2015-01-07 06","주","수","1","0","0","0","0","충남","천안시","차대사람","횡단중","횡단중","보행자 보호의무 위반","단일로","기타단일로","화물차","보행자","966388","1869214","127.1231202","36.82052356","N"
"2015","2015-01-07 06","주","수","1","0","0","0","0","전남","광양시","차대사람","횡단중","횡단중","안전운전 의무 불이행","교차로","교차로내","승용차","보행자","1009688","1663361","127.6061229","34.96508268","N"
"2015","2015-01-07 06","주","수","1","0","0","0","0","대구","달성군","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","1081258","1751868","128.3988588","35.75982905","N"
"2015","2015-01-07 07","주","수","1","0","0","0","0","대전","동구","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","횡단보도부근","승용차","보행자","993709","1816497","127.4298916","36.3458532","N"
"2015","2015-01-07 08","주","수","1","0","0","0","0","전남","목포시","차대사람","기타","기타","안전운전 의무 불이행","단일로","기타단일로","화물차","보행자","896980","1646515","126.3736842","34.80800572","N"
"2015","2015-01-07 09","주","수","1","0","0","0","0","전북","익산시","차대사람","길가장자리구역통행중","길가장자리구역통행중","안전운전 의무 불이행","단일로","기타단일로","화물차","보행자","948428.8","1768984.1","126.9284055","35.91614901","N"
"2015","2015-01-07 11","주","수","1","0","0","0","0","강원","원주시","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","단일로","기타단일로","승용차","없음","1048464","1912401","128.0461833","37.20916674","N"
"2015","2015-01-07 12","주","수","2","1","0","1","0","충북","음성군","차대차","기타","기타","중앙선 침범","단일로","기타단일로","승용차","화물차","999920","1882416","127.4991016","36.9401317","N"
"2015","2015-01-07 14","주","수","1","0","0","0","0","전북","전주시","차대사람","차도통행중","차도통행중","안전운전 의무 불이행","단일로","기타단일로","승합차","보행자","967896","1758730","127.1445804","35.82453169","N"
"2015","2015-01-07 16","주","수","1","7","7","0","0","경기","고양시","차대차","측면충돌","측면충돌","교차로 통행방법 위반","교차로","교차로내","화물차","승용차","943330","1958735","126.8577847","37.62632316","N"
"2015","2015-01-07 21","야","수","1","0","0","0","0","서울","서초구","차대사람","횡단중","횡단중","보행자 보호의무 위반","교차로","교차로부근","승합차","보행자","954246","1943066","126.9824632","37.4857036","N"
"2015","2015-01-07 23","야","수","1","4","1","3","0","경기","양주시","차대차","추돌","진행중 추돌","안전운전 의무 불이행","교차로","교차로내","승합차","승합차","954897","1976871","126.9877389","37.79042332","N"
"2015","2015-01-07 23","야","수","1","0","0","0","0","충북","충주시","차량단독","도로이탈","도로이탈 기타","안전운전 의무 불이행","단일로","기타단일로","승용차","없음","1044193","1871926","127.995675","36.84453527","N"
"2015","2015-01-08 00","야","목","1","0","0","0","0","충남","태안군","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","단일로","기타단일로","승용차","없음","893342","1861357","126.3052868","36.74429429","N"
"2015","2015-01-08 06","주","목","1","0","0","0","0","경기","성남시","차대사람","횡단중","횡단중","안전운전 의무 불이행","교차로","교차로부근","승합차","보행자","970453","1937733","127.1659955","37.43829503","N"
"2015","2015-01-08 06","주","목","1","0","0","0","0","전남","곡성군","차대차","추돌","진행중 추돌","안전운전 의무 불이행","단일로","기타단일로","특수차","화물차","968028","1696079","127.1485151","35.25964573","N"
"2015","2015-01-08 08","주","목","1","0","0","0","0","전남","담양군","차대차","기타","기타","중앙선 침범","단일로","기타단일로","승용차","건설기계","958909","1698879","127.0481275","35.28455993","N"
"2015","2015-01-08 09","주","목","1","1","0","0","1","경기","안양시","차대사람","횡단중","횡단중","안전운전 의무 불이행","교차로","교차로내","승용차","보행자","949065","1932890","126.9245647","37.39371299","Y"
"2015","2015-01-08 11","주","목","1","0","0","0","0","경북","영양군","차량단독","전도전복","전도전복","안전운전 의무 불이행","단일로","기타단일로","건설기계","없음","1136779","1844928","129.0290793","36.59237601","N"
"2015","2015-01-08 15","주","목","1","2","1","1","0","전남","보성군","차대차","측면충돌","측면충돌","안전운전 의무 불이행","교차로","교차로내","원동기장치자전거","화물차","985952","1648870","127.3463611","34.83435812","N"
"2015","2015-01-08 18","야","목","1","0","0","0","0","강원","평창군","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","1105945","1964415","128.7013645","37.6731482","N"
"2015","2015-01-09 06","주","금","1","0","0","0","0","충북","청주시","차대사람","기타","기타","안전운전 의무 불이행","단일로","기타단일로","화물차","보행자","996672","1849493","127.4627699","36.64333339","N"
"2015","2015-01-09 07","주","금","1","0","0","0","0","부산","연제구","차대차","측면충돌","측면충돌","안전운전 의무 불이행","단일로","기타단일로","원동기장치자전거","승합차","1143616","1689163","129.0773851","35.18752002","N"
"2015","2015-01-09 09","주","금","1","0","0","0","0","전남","무안군","차대차","기타","기타","안전운전 의무 불이행","단일로","기타단일로","승용차","승합차","905854","1665383","126.4685647","34.97898145","N"
"2015","2015-01-09 09","주","금","1","0","0","0","0","인천","계양구","차대차","측면충돌","측면충돌","신호위반","교차로","교차로내","승합차","원동기장치자전거","928847","1947595","126.6947507","37.52491473","N"
"2015","2015-01-09 17","주","금","1","0","0","0","0","경남","함양군","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","단일로","기타단일로","화물차","없음","1017299","1720744","127.6907005","35.48240707","N"
"2015","2015-01-09 18","야","금","1","0","0","0","0","경기","고양시","차대차","추돌","진행중 추돌","안전운전 의무 불이행","교차로","교차로내","승합차","이륜차","947227","1968549","126.901235","37.71500798","N"
"2015","2015-01-09 20","야","금","1","0","0","0","0","서울","중구","차대사람","횡단중","횡단중","안전운전 의무 불이행","교차로","교차로내","승용차","보행자","955475","1951772","126.9958365","37.56423328","N"
"2015","2015-01-09 22","야","금","1","0","0","0","0","인천","계양구","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","931081","1949665","126.7198367","37.54374085","N"
"2015","2015-01-10 01","야","토","1","0","0","0","0","경기","가평군","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","단일로","기타단일로","승합차","없음","991338","1968779","127.4017154","37.71856053","N"
"2015","2015-01-10 01","야","토","1","0","0","0","0","충북","청주시","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","997095","1851601","127.4674939","36.6623383","N"
"2015","2015-01-10 01","야","토","1","0","0","0","0","대구","수성구","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","단일로","기타단일로","원동기장치자전거","없음","1102768","1758839","128.6376557","35.82065581","N"
"2015","2015-01-10 02","야","토","1","0","0","0","0","서울","송파구","차대사람","횡단중","횡단중","안전운전 의무 불이행","교차로","교차로내","승용차","보행자","964672","1946089","127.1002465","37.51340898","N"
"2015","2015-01-10 03","야","토","1","0","0","0","0","서울","구로구","차대사람","횡단중","횡단중","과속","교차로","교차로부근","승용차","보행자","945002","1945228","126.8777451","37.50468573","N"
"2015","2015-01-10 04","야","토","1","1","1","0","0","광주","남구","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","단일로","기타단일로","화물차","없음","942826","1680029","126.8725813","35.11380705","N"
"2015","2015-01-10 11","주","토","1","0","0","0","0","경북","의성군","차대사람","횡단중","횡단중","안전운전 의무 불이행","교차로","교차로내","화물차","보행자","1102454","1814485","128.6414054","36.32228468","N"
"2015","2015-01-10 13","주","토","1","2","1","1","0","충남","천안시","차대차","정면충돌","정면충돌","중앙선 침범","단일로","기타단일로","승용차","승용차","985192","1863445","127.3340739","36.76899906","N"
"2015","2015-01-10 19","야","토","1","0","0","0","0","광주","서구","차대사람","차도통행중","차도통행중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","945503","1684552","126.9016585","35.15473829","N"
"2015","2015-01-10 21","야","토","1","0","0","0","0","서울","성동구","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","958885","1949153","127.034594","37.54078605","N"
"2015","2015-01-11 01","야","일","1","1","0","0","1","경기","용인시","차량단독","도로이탈","도로이탈 추락","안전운전 의무 불이행","단일로","기타단일로","승용차","없음","964859","1926224","127.1033082","37.33436163","N"
"2015","2015-01-11 02","야","일","1","0","0","0","0","서울","성북구","차대차","추돌","주정차중 추돌","안전운전 의무 불이행","단일로","기타단일로","이륜차","승합차","960735.3","1957108.1","127.0551117","37.61256826","N"
"2015","2015-01-11 03","야","일","1","4","1","3","0","경기","성남시","차대차","추돌","주정차중 추돌","안전운전 의무 불이행","단일로","기타단일로","승용차","특수차","962023","1936802","127.0707514","37.42959576","N"
"2015","2015-01-11 05","야","일","1","0","0","0","0","경기","이천시","차대사람","길가장자리구역통행중","길가장자리구역통행중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","989751","1922648","127.3843516","37.30273629","N"
"2015","2015-01-11 06","주","일","1","0","0","0","0","경남","고성군","차대사람","횡단중","횡단중","안전운전 의무 불이행","교차로","교차로내","승합차","보행자","1087867","1673179","128.4634775","35.04983612","N"
"2015","2015-01-11 07","주","일","1","0","0","0","0","대전","유성구","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","단일로","기타단일로","승합차","없음","989252","1823547","127.3801243","36.40937199","N"
"2015","2015-01-11 08","주","일","1","0","0","0","0","경남","거창군","차량단독","전도전복","전도전복","안전운전 의무 불이행","단일로","기타단일로","승용차","없음","1031832","1747346","127.8519558","35.7219011","N"
"2015","2015-01-11 09","주","일","2","3","0","3","0","충남","당진시","차대차","정면충돌","정면충돌","중앙선 침범","단일로","기타단일로","승합차","승용차","929472","1867438","126.7093849","36.80248276","N"
"2015","2015-01-11 13","주","일","1","0","0","0","0","경북","고령군","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","단일로","기타단일로","화물차","없음","1078770","1751886","128.3713418","35.76019383","N"
"2015","2015-01-11 17","주","일","1","4","3","1","0","강원","영월군","차대차","측면충돌","측면충돌","안전운전 의무 불이행","단일로","기타단일로","승용차","승용차","1085256","1910943","128.4606164","37.19338868","N"
"2015","2015-01-11 18","야","일","1","0","0","0","0","울산","울주군","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","1152224","1718633","129.1773727","35.45186806","N"
"2015","2015-01-11 19","야","일","1","0","0","0","0","경기","안양시","차대사람","차도통행중","차도통행중","안전운전 의무 불이행","단일로","기타단일로","승합차","보행자","951078","1932302","126.9473444","37.38852158","N"
"2015","2015-01-11 22","야","일","2","3","1","2","0","강원","태백시","차대차","정면충돌","정면충돌","중앙선 침범","단일로","기타단일로","승용차","승용차","1136587","1900793","129.0369785","37.09582738","N"
"2015","2015-01-12 02","야","월","1","0","0","0","0","울산","남구","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","기타단일로","승합차","보행자","1160341","1730066","129.2690364","35.55363099","N"
"2015","2015-01-12 06","주","월","1","4","0","3","1","인천","남동구","차대사람","횡단중","횡단중","신호위반","교차로","교차로부근","승용차","보행자","929907","1939252","126.7075406","37.44980195","N"
"2015","2015-01-12 13","주","월","1","0","0","0","0","전남","여수시","차량단독","전도전복","전도전복","안전운전 의무 불이행","단일로","기타단일로","농기계","없음","1005539","1629438","127.5604507","34.65920592","N"
"2015","2015-01-12 18","야","월","1","0","0","0","0","전남","순천시","차대사람","기타","기타","과속","교차로","교차로부근","승용차","보행자","997105","1654599","127.4683184","34.88611312","N"
"2015","2015-01-12 18","야","월","1","0","0","0","0","대구","중구","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","단일로","기타단일로","이륜차","없음","1098178","1764548","128.5875546","35.87259001","N"
"2015","2015-01-12 19","야","월","1","0","0","0","0","충북","진천군","차대사람","기타","기타","안전운전 의무 불이행","단일로","기타단일로","화물차","보행자","995120","1888154","127.4451596","36.99184413","N"
"2015","2015-01-12 19","야","월","1","0","0","0","0","제주","서귀포시","차대사람","횡단중","횡단중","안전운전 의무 불이행","단일로","기타단일로","승용차","보행자","943557","1494870","126.8927317","33.44408644","N"
"2015","2015-01-12 21","야","월","1","0","0","0","0","경기","남양주시","차대차","추돌","주정차중 추돌","안전운전 의무 불이행","단일로","기타단일로","화물차","화물차","967801","1964359","127.1348481","37.67819716","N"
